"district","hour","mode1","mode2","mode3"
"001","4am",2.6873,76.7131,20.5996
"001","5am",2.6975,76.6254,20.6771
"001","6am",2.7104,76.5129,20.7766
"001","7am",3.1677,76.329,20.5033
"001","8am",6.4317,72.4696,21.0987
"001","9am",9.3314,72.3736,18.295
"001","10am",7.754,73.3999,18.846
"001","11am",7.1902,71.3973,21.4125
"001","12am",6.686,71.1267,22.1873
"001","1pm",5.4142,74.0674,20.5185
"001","2pm",5.8253,72.1422,22.0325
"001","3pm",5.3298,72.2833,22.3869
"001","4pm",5.0254,74.5162,20.4584
"001","5pm",3.2484,75.6634,21.0882
"001","6pm",3.2476,77.5681,19.1843
"001","7pm",2.8423,78.9615,18.1963
"001","8pm",2.5602,77.7883,19.6515
"001","9pm",2.5822,78.3176,19.1003
"001","10pm",2.6779,77.5136,19.8085
"001","11pm",2.7015,76.5901,20.7084
"001","12pm",2.6226,77.2743,20.1031
"001","1am",2.6226,77.2743,20.1031
"001","2am",2.6035,77.4392,19.9572
"001","3am",2.5848,77.6018,19.8134
"002","4am",4.3228,74.5561,21.1211
"002","5am",4.3228,74.5561,21.1211
"002","6am",5.018,73.4622,21.5198
"002","7am",5.5015,73.5909,20.9076
"002","8am",5.7339,71.532,22.7342
"002","9am",5.3908,67.5688,27.0404
"002","10am",4.3869,69.7734,25.8397
"002","11am",4.0463,72.1204,23.8333
"002","12am",2.8423,70.3006,26.8571
"002","1pm",2.5294,72.2338,25.2367
"002","2pm",1.6753,70.4769,27.8477
"002","3pm",1.8551,68.2071,29.9378
"002","4pm",2.0597,67.8348,30.1055
"002","5pm",3.72,68.555,27.725
"002","6pm",7.2992,67.0586,25.6421
"002","7pm",7.129,68.9651,23.9059
"002","8pm",5.1925,73.3176,21.4898
"002","9pm",5.2427,73.06,21.6974
"002","10pm",5.0671,73.9622,20.9707
"002","11pm",5.1278,73.6503,21.2219
"002","12pm",4.8939,74.8522,20.2539
"002","1am",4.8947,74.8481,20.2572
"002","2am",4.9356,74.638,20.4264
"002","3am",4.9356,74.638,20.4264
"003","4am",5.6895,82.5944,11.716
"003","5am",4.7719,83.5121,11.716
"003","6am",4.8164,83.3583,11.8253
"003","7am",3.6191,82.6901,13.6908
"003","8am",1.1801,79.5011,19.3188
"003","9am",3.1367,74.3857,22.4776
"003","10am",1.7712,77.275,20.9537
"003","11am",0,77.1368,22.8632
"003","12am",0,78.0045,21.9955
"003","1pm",3.1729,74.011,22.8161
"003","2pm",3.3904,74.1281,22.4815
"003","3pm",3.528,71.6417,24.8302
"003","4pm",1.8532,73.7829,24.3639
"003","5pm",3.0872,76.5571,20.3558
"003","6pm",4.1285,79.2617,16.6098
"003","7pm",5.6235,81.3923,12.9843
"003","8pm",6.3497,80.8178,12.8325
"003","9pm",5.6572,82.9098,11.4329
"003","10pm",5.8148,81.4957,12.6894
"003","11pm",5.6952,81.8766,12.4283
"003","12pm",5.5869,82.2213,12.1919
"003","1am",5.4289,82.7238,11.8472
"003","2am",5.4289,82.7238,11.8472
"003","3am",5.4289,82.7238,11.8472
"004","4am",3.696,80.5803,15.7237
"004","5am",3.7576,80.2569,15.9855
"004","6am",3.8913,80.4325,15.6762
"004","7am",3.9579,80.2339,15.8082
"004","8am",1.341,82.8538,15.8052
"004","9am",0.3363,77.6,22.0637
"004","10am",0.1827,75.9443,23.8729
"004","11am",0.1878,76.1933,23.6188
"004","12am",0.3742,76.0272,23.5986
"004","1pm",0.5486,75.7175,23.7339
"004","2pm",0.5137,78.5389,20.9474
"004","3pm",0.5391,76.3647,23.0962
"004","4pm",0.5394,75.0034,24.4573
"004","5pm",0.5313,74.4358,25.033
"004","6pm",3.3425,78.6626,17.9949
"004","7pm",4.0022,78.3132,17.6846
"004","8pm",3.8034,79.3501,16.8464
"004","9pm",3.6202,80.0754,16.3044
"004","10pm",3.6437,80.8555,15.5008
"004","11pm",3.6196,80.982,15.3984
"004","12pm",3.6942,80.59,15.7158
"004","1am",3.6942,80.59,15.7158
"004","2am",3.6942,80.59,15.7158
"004","3am",3.6655,80.7409,15.5936
"005","4am",3.9714,76.8566,19.172
"005","5am",3.897,76.4576,19.6454
"005","6am",4.0331,76.496,19.4708
"005","7am",3.9876,76.3161,19.6963
"005","8am",4.4925,72.1332,23.3743
"005","9am",4.7318,67.5347,27.7335
"005","10am",4.6557,69.2314,26.1129
"005","11am",3.3679,72.3097,24.3224
"005","12am",3.6125,69.3654,27.0221
"005","1pm",2.311,74.1865,23.5026
"005","2pm",2.6215,71.7454,25.6331
"005","3pm",2.8147,71.7984,25.3869
"005","4pm",3.8293,68.5262,27.6445
"005","5pm",4.0637,69.649,26.2874
"005","6pm",3.9069,72.6139,23.4793
"005","7pm",4.3528,75.4017,20.2455
"005","8pm",5.4552,76.2753,18.2695
"005","9pm",4.55,77.5311,17.9189
"005","10pm",4.6912,76.7244,18.5844
"005","11pm",4.743,76.4675,18.7895
"005","12pm",3.9026,76.5043,19.5932
"005","1am",3.8976,76.5343,19.5681
"005","2am",3.882,76.6283,19.4897
"005","3am",3.882,76.6283,19.4897
"006","4am",8.6008,82.2187,9.1805
"006","5am",8.5476,82.3287,9.1237
"006","6am",8.731,81.9495,9.3195
"006","7am",6.3664,83.9588,9.6749
"006","8am",5.3906,83.3636,11.2458
"006","9am",6.0809,81.2355,12.6836
"006","10am",5.8261,79.8467,14.3272
"006","11am",6.3857,81.1919,12.4225
"006","12am",5.3219,80.9458,13.7323
"006","1pm",4.6746,80.3222,15.0032
"006","2pm",3.9324,79.6294,16.4382
"006","3pm",3.1094,80.6863,16.2043
"006","4pm",1.9162,84.6652,13.4185
"006","5pm",4.0999,86.5394,9.3607
"006","6pm",5.1359,85.9634,8.9007
"006","7pm",6.9555,82.5556,10.4888
"006","8pm",8.9712,81.5047,9.5241
"006","9pm",7.914,82.7452,9.3408
"006","10pm",8.8478,81.7082,9.4441
"006","11pm",8.5504,82.3229,9.1267
"006","12pm",8.4752,82.4784,9.0464
"006","1am",8.3186,82.8021,8.8793
"006","2am",8.2702,82.9021,8.8276
"006","3am",8.2702,82.9021,8.8276
"007","4am",4.3321,71.6646,24.0033
"007","5am",4.2514,71.8079,23.9408
"007","6am",3.1846,73.1879,23.6275
"007","7am",3.1913,72.1913,24.6174
"007","8am",0.8317,71.3921,27.7762
"007","9am",0.7025,75.1329,24.1646
"007","10am",1.5286,75.6454,22.826
"007","11am",1.4714,77.413,21.1156
"007","12am",1.5566,77.0673,21.3761
"007","1pm",1.3953,74.9197,23.6849
"007","2pm",1.9847,72.5351,25.4803
"007","3pm",4.2236,72.8677,22.9087
"007","4pm",3.1539,69.388,27.4581
"007","5pm",3.4846,65.9415,30.5739
"007","6pm",6.242,66.1908,27.5673
"007","7pm",5.5607,67.4082,27.0311
"007","8pm",7.3857,65.9261,26.6882
"007","9pm",5.7611,72.0281,22.2108
"007","10pm",5.0052,71.8989,23.0959
"007","11pm",5.1238,71.2328,23.6434
"007","12pm",5.0916,71.4136,23.4948
"007","1am",5.0835,71.4591,23.4574
"007","2am",5.1383,71.1516,23.7101
"007","3am",5.0633,71.5724,23.3643
"008","4am",8.8668,63.8478,27.2854
"008","5am",8.9535,63.4941,27.5524
"008","6am",8.9535,63.4941,27.5524
"008","7am",9.1977,62.4985,28.3038
"008","8am",5.8369,64.2747,29.8884
"008","9am",6.9985,62.9711,30.0304
"008","10am",5.8469,68.1424,26.0107
"008","11am",4.7723,71.7154,23.5124
"008","12am",5.8116,69.6652,24.5232
"008","1pm",5.1153,70.2764,24.6083
"008","2pm",6.3878,69.905,23.7072
"008","3pm",8.1487,65.6722,26.1791
"008","4pm",8.2508,67.8211,23.9282
"008","5pm",11.8508,60.591,27.5582
"008","6pm",11.8698,60.1098,28.0204
"008","7pm",12.8915,60.1725,26.936
"008","8pm",10.3689,62.7265,26.9046
"008","9pm",8.7869,62.6629,28.5502
"008","10pm",8.2648,63.9782,27.757
"008","11pm",8.5768,62.6182,28.805
"008","12pm",8.4999,62.9535,28.5466
"008","1am",8.4346,63.238,28.3274
"008","2am",8.4346,63.238,28.3274
"008","3am",8.4346,63.238,28.3274
"009","4am",8.367,74.6853,16.9477
"009","5am",8.208,75.1663,16.6257
"009","6am",8.1605,74.541,17.2985
"009","7am",8.8274,73.8487,17.3238
