ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P1;29/04/2025;08:13:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;comportement -;aggresivite cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;attention;NA;femme;NA
P2;29/04/2025;08:14:00;pietons;sans reponse;sans reponse;sans reponse;NA;null;oui;null;null;null;NA;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;densite frequentation -;trop de monde en general;absence de separation;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;beau;dangereux;NA;femme;NA
P3;29/04/2025;08:14:00;pietons;vers corbeau;toutes les semaines;activites/loisirs;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;amenagement +;amenagements bien adaptes;espace assez large;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;aerer;moderne;charmant;homme;NA
P4;29/04/2025;08:15:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;amenagement -;absence de separation;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;NA;NA;NA;homme;NA
P5;29/04/2025;08:15:00;pietons;vers corbeau;tous les jours;autre;ecole a proximite;oui;null;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;oui;samedi;trop frequente;oui;null;oui;null;null;oui;null;NA;apaise;trop de velos;NA;femme;NA
P6;29/04/2025;08:18:00;pietons;vers corbeau;premiere fois;promenade;NA;oui;null;null;null;null;NA;tout a fait d'accord;sans reponse;plutot d'accord;plutot pas d'accord;ne sait pas;tout a fait d'accord;amenagement -;absence de separation;NA;NA;NA;non-concerne;NA;NA;null;null;null;null;null;null;null;NA;securite;cohabitation;exemplaire;femme;NA
P7;29/04/2025;08:20:00;pietons;vers gallia;tous les jours;travail/etudes;NA;null;null;null;oui;null;NA;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;vitesse cyclistes;NA;NA;non;NA;NA;oui;oui;null;null;null;null;null;NA;desagreable;risque;conflictuelle;homme;NA
P8;29/04/2025;08:20:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;comportement derangeant cyclistes;vitesse cyclistes;NA;NA;oui;NA;tourisme;null;null;null;null;null;null;null;NA;dangereux;mauvais;inconscient;ne sait pas;NA
P9;29/04/2025;08:21:00;pietons;vers corbeau;tous les jours;activites/loisirs;NA;null;null;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;NA;NA;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;vitesse;hors limite;NA;femme;NA
P10;29/04/2025;08:25:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;null;null;null;null;oui;ecole a proximite;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;vitesse cyclistes;pietons trop lents;trop de cyclistes;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;pas serein;NA;femme;NA
P11;29/04/2025;08:25:00;pietons;sans reponse;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;ne sait pas;pas du tout d'accord;tout a fait d'accord;amenagement +;espace assez large;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;calme;NA;femme;NA
